ID	Group	treatment	celltype	med_calc
beta_ifng3	beta_ifng	ifng	beta	beta_ifng3
alpha_ifng3	alpha_ifng	ifng	alpha	alpha_ifng3
delta_ifng3	delta_ifng	ifng	delta	delta_ifng3
beta_control3	beta_control	control	beta	beta_control3
alpha_control3	alpha_control	control	alpha	alpha_control3
delta_control3	delta_control	control	delta	delta_control3
beta_ifng2	beta_ifng	ifng	beta	beta_ifng2
alpha_ifng2	alpha_ifng	ifng	alpha	alpha_ifng2
delta_ifng2	delta_ifng	ifng	delta	delta_ifng2
beta_control2	beta_control	control	beta	beta_control2
alpha_control2	alpha_control	control	alpha	alpha_control2
delta_control2	delta_control	control	delta	delta_control2
beta_ifng1	beta_ifng	ifng	beta	beta_ifng1
alpha_ifng1	alpha_ifng	ifng	alpha	alpha_ifng1
delta_ifng1	delta_ifng	ifng	delta	delta_ifng1
beta_control1	beta_control	control	beta	beta_control1
alpha_control1	alpha_control	control	alpha	alpha_control1
delta_control1	delta_control	control	delta	delta_control1
